,swab.ID,General.ID,Substrate,Boulder,DNA.ID,DNA.ID.updated,Sampling.day,Comments,Corraline.area,Sample.location,Photo,Location,Latitude,Longitude,sequencing_output,Forward sequencing reads file name,Reverse sequencing reads file name
1,D3S60,B27A,Corraline,27,Crusticorallina maricata,Crusticorallina muricata,10/07/2019,No_comment,Continuous,Boat,B27A_DSC_3335.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S60_S1_L001_R1_001.fastq.gz,D3S60_S1_L001_R2_001.fastq.gz
2,D3S57,B26_red_crust,Red_crust,26,Red Crust,Peyssonnelia sp10BC,10/07/2019,No_comment,Continuous,Boat,B26rc_DSC_3331.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S57_S13_L001_R1_001.fastq.gz,D3S57_S13_L001_R2_001.fastq.gz
3,D3S14,B24_rock,Rock,24,NA,#N/A,10/07/2019,Probably contamatiNo_commentted by boat bench,Continuous,Boat,NA,NA,NA,NA,Success,D3S14_S19_L001_R1_001.fastq.gz,D3S14_S19_L001_R2_001.fastq.gz
4,D3S43,B25_rock,Rock,25,NA,#N/A,10/07/2019,No_comment,Continuous,Boat,NA,NA,NA,NA,Success,D3S43_S25_L001_R1_001.fastq.gz,D3S43_S25_L001_R2_001.fastq.gz
5,D3S09,B23_red_crust,Red_crust,23,Red Crust,Peyssonnelia sp10BC,10/07/2019,No_comment,Continuous,Boat,B23rc_DSC_3299.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S09_S31_L001_R1_001.fastq.gz,D3S09_S31_L001_R2_001.fastq.gz
6,D2S13,B14B,Corraline,14,Bossiella exarticulata,Bossiella exarticulata,09/07/2019,No_comment,Continuous,Boat,B14B_DSC_3264.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S13_S43_L001_R1_001.fastq.gz,D2S13_S43_L001_R2_001.fastq.gz
7,D3S23,B21D,Corraline,21,Lithophyllum impressum,Lithophyllum impressum,10/07/2019,No_comment,Continuous,Boat,B21D_DSC_3295.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S23_S55_L001_R1_001.fastq.gz,D3S23_S55_L001_R2_001.fastq.gz
8,D3S17,B24D,Corraline,24,Lithophyllum sp4,Lithophyllum sp4,10/07/2019,No_comment,Continuous,Boat,B24D_DSC_3321.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S17_S67_L001_R1_001.fastq.gz,D3S17_S67_L001_R2_001.fastq.gz
9,D3S30,B21_red_crust,Red_crust,21,Red Crust,Peyssonnelia sp10BC,10/07/2019,No_comment,Continuous,Boat,B21rc_DSC_3295.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S30_S79_L001_R1_001.fastq.gz,D3S30_S79_L001_R2_001.fastq.gz
10,D3S29,B19D,Corraline,19,Bossiella mayae,Bossiella mayae,10/07/2019,No_comment,Continuous,Boat,B19D_DSC_3278.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S29_S91_L001_R1_001.fastq.gz,D3S29_S91_L001_R2_001.fastq.gz
11,D2S22,B11A,Corraline,11,GWS020166Corsp23BCcrust,Corsp23BC,09/07/2019,No_comment,Continuous,Boat,B11A_DSC_3244.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S22_S2_L001_R1_001.fastq.gz,D2S22_S2_L001_R2_001.fastq.gz
12,D3S24,B22D,Corraline,22,GWS020166Corsp23BCcrust,Corsp23BC,10/07/2019,No_comment,Continuous,Boat,B22D_DSC_3289.jpg,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S24_S14_L001_R1_001.fastq.gz,D3S24_S14_L001_R2_001.fastq.gz
13,D2S16,B12C,Corraline,12,Bossiella exarticulata,Bossiella exarticulata,09/07/2019,No_comment,Continuous,Boat,B12C_DSC_3247.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S16_S8_L001_R1_001.fastq.gz,D2S16_S8_L001_R2_001.fastq.gz
14,D3S45,B25A,Corraline,25,Lithophyllum sp4,Lithophyllum sp4,10/07/2019,No_comment,Continuous,Boat,B25A_DSC_3300.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S45_S26_L001_R1_001.fastq.gz,D3S45_S26_L001_R2_001.fastq.gz
15,D3S59,Diver_3,Diver_hands,Other,NA,#N/A,10/07/2019,No_comment,Continuous,Boat,NA,NA,NA,NA,Success,D3S59_S38_L001_R1_001.fastq.gz,D3S59_S38_L001_R2_001.fastq.gz
16,D3S47,B27A,Corraline,27,Crusticorallina maricata,Crusticorallina muricata,10/07/2019,No_comment,Continuous,Boat,B27A_DSC_3335.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S47_S50_L001_R1_001.fastq.gz,D3S47_S50_L001_R2_001.fastq.gz
17,D3S20,B20_red_crust,Red_crust,20,Red Crust,Peyssonnelia sp10BC,10/07/2019,No_comment,Continuous,Boat,B20rc_DSC_3286.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S20_S32_L001_R1_001.fastq.gz,D3S20_S32_L001_R2_001.fastq.gz
18,D2S11,B15A,Corraline,15,Crusticorallina painei,Crusticorallina painei,09/07/2019,No_comment,Continuous,Boat,B15A_DSC_3266.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S11_S62_L001_R1_001.fastq.gz,D2S11_S62_L001_R2_001.fastq.gz
19,D2S20,B13C,Corraline,13,Crusticorallina maricata,Crusticorallina muricata,09/07/2019,No_comment,Continuous,Boat,B13C_DSC_3250.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S20_S74_L001_R1_001.fastq.gz,D2S20_S74_L001_R2_001.fastq.gz
20,D3S34,B21E,Corraline,21,Bossiella exarticulata,Bossiella exarticulata,10/07/2019,No_comment,Continuous,Boat,B21E_DSC_3295.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S34_S51_L001_R1_001.fastq.gz,D3S34_S51_L001_R2_001.fastq.gz
21,D2S34,B11D,Corraline,11,Bossiella exarticulata,Bossiella exarticulata,09/07/2019,No_comment,Continuous,Boat,B11D_DSC_3244.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S34_S4_L001_R1_001.fastq.gz,D2S34_S4_L001_R2_001.fastq.gz
22,D3S40,B23C,Corraline,23,Lithophyllum impressum,Lithophyllum impressum,10/07/2019,No_comment,Continuous,Boat,B23C_DSC_3299.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S40_S56_L001_R1_001.fastq.gz,D3S40_S56_L001_R2_001.fastq.gz
23,D2S39,B11B,Corraline,11,Crusticorallina maricata,Crusticorallina muricata,09/07/2019,No_comment,Continuous,Boat,B11B_DSC_3244.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S39_S16_L001_R1_001.fastq.gz,D2S39_S16_L001_R2_001.fastq.gz
24,D2S18,B14A,Corraline,14,Crusticorallina maricata,Crusticorallina muricata,09/07/2019,No_comment,Continuous,Boat,B14A_DSC_3264.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S18_S28_L001_R1_001.fastq.gz,D2S18_S28_L001_R2_001.fastq.gz
25,D3S06,B21C,Corraline,21,Crusticorallina maricata,Crusticorallina muricata,10/07/2019,No_comment,Continuous,Boat,B21C_DSC_3295.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S06_S40_L001_R1_001.fastq.gz,D3S06_S40_L001_R2_001.fastq.gz
26,D3S56,B26A,Corraline,26,Lithophyllum sp4,Lithophyllum sp4,10/07/2019,No_comment,Continuous,Boat,B26A_DSC_3331.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S56_S52_L001_R1_001.fastq.gz,D3S56_S52_L001_R2_001.fastq.gz
27,D4W1,Water5,Water,Other,NA,#N/A,11/07/2019,No_comment,Continuous,Boat,NA,NA,NA,NA,Success,D4W1_S80_L001_R1_001.fastq.gz,D4W1_S80_L001_R2_001.fastq.gz
28,D2S36,B10A,Corraline,10,Crusticorallina painei,Crusticorallina painei,09/07/2019,No_comment,Continuous,Boat,B10A_DSC_3239.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S36_S64_L001_R1_001.fastq.gz,D2S36_S64_L001_R2_001.fastq.gz
29,D3S35,B19C,Corraline,19,Lithophyllum impressum,Lithophyllum impressum,10/07/2019,No_comment,Continuous,Boat,B19C_DSC_3278.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D3S35_S88_L001_R1_001.fastq.gz,D3S35_S88_L001_R2_001.fastq.gz
30,D1S48,B6_rock,Rock,6,NA,#N/A,8/07/2026,No_comment,Continuous,Laboratory,NA,NA,NA,NA,Success,D1S48_S17_L001_R1_001.fastq.gz,D1S48_S17_L001_R2_001.fastq.gz
31,D2S07,B15C,Corraline,15,Lithophyllum impressum,Lithophyllum impressum,09/07/2019,No_comment,Continuous,Boat,B15C_DSC_3266.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S07_S9_L001_R1_001.fastq.gz,D2S07_S9_L001_R2_001.fastq.gz
32,D2W1,Water2,Water,Other,NA,#N/A,09/07/2019,No_comment,NA,Boat,NA,NA,NA,NA,Success,D2W1_S29_L001_R1_001.fastq.gz,D2W1_S29_L001_R2_001.fastq.gz
33,D1S20,B1A,Corraline,1,Crusticorallina maricata,Crusticorallina muricata,8/07/2019,No_comment,Continuous,Boat,B1A_DSC_3192.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D1S20_S21_L001_R1_001.fastq.gz,D1S20_S21_L001_R2_001.fastq.gz
34,D3W2,Water4,Water,Other,NA,#N/A,10/07/2019,No_comment,NA,Laboratory,NA,NA,NA,NA,Success,D3W2_S33_L001_R1_001.fastq.gz,D3W2_S33_L001_R2_001.fastq.gz
35,D1S15,B2_rock,Rock,2,NA,#N/A,8/07/2019,No_comment,Continuous,Boat,NA,NA,NA,NA,Success,D1S15_S41_L001_R1_001.fastq.gz,D1S15_S41_L001_R2_001.fastq.gz
36,D2S12,B16B,Corraline,16,Crusticorallina painei,Crusticorallina painei,09/07/2019,No_comment,Continuous,Boat,B16B_DSC_3267.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S12_S53_L001_R1_001.fastq.gz,D2S12_S53_L001_R2_001.fastq.gz
37,D1S4,B2B,Corraline,2,Crusticorallina maricata,Crusticorallina muricata,8/07/2019,No_comment,Continuous,Boat,B2B_DSC_3202.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D1S4_S45_L001_R1_001.fastq.gz,D1S4_S45_L001_R2_001.fastq.gz
38,D4W2,Water6,Water,Other,NA,#N/A,11/07/2019,No_comment,Continuous,Laboratory,NA,NA,NA,NA,Success,D4W2_S57_L001_R1_001.fastq.gz,D4W2_S57_L001_R2_001.fastq.gz
39,D2S14,B16A,Corraline,16,Crusticorallina maricata,Crusticorallina muricata,09/07/2019,No_comment,Continuous,Boat,B16A_DSC_3267.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S14_S69_L001_R1_001.fastq.gz,D2S14_S69_L001_R2_001.fastq.gz
40,D4S10,B28C,Corraline,28,Bossiella mayae,Bossiella mayae,11/07/2019,No_comment,Continuous,Boat,B28C_DSC_3342.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S10_S81_L001_R1_001.fastq.gz,D4S10_S81_L001_R2_001.fastq.gz
41,D4S18,B29B,Corraline,29,Bossiella exarticulata,Bossiella exarticulata,11/07/2019,No_comment,Continuous,Boat,B29B_DSC_3346.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S18_S93_L001_R1_001.fastq.gz,D4S18_S93_L001_R2_001.fastq.gz
42,D4S36,B30A,Corraline,30,Bossiella exarticulata,Bossiella exarticulata,11/07/2019,No_comment,Continuous,Boat,B30A_DSC_3349.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S36_S82_L001_R1_001.fastq.gz,D4S36_S82_L001_R2_001.fastq.gz
43,D4S32,Net_7,Net,32,NA,#N/A,11/07/2019,No_comment,Continuous,Boat,NA,NA,NA,NA,Success,D4S32_S18_L001_R1_001.fastq.gz,D4S32_S18_L001_R2_001.fastq.gz
44,D4S02,B29D,Corraline,29,Chiharaea americana,Chiharaea americana,11/07/2019,Part of B29D,Continuous,Boat,B29D_DSC_3346.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S02_S71_L001_R1_001.fastq.gz,D4S02_S71_L001_R2_001.fastq.gz
45,D4S21,Net_4,Net,28,NA,#N/A,11/07/2019,No_comment,Continuous,Boat,NA,NA,NA,NA,Success,D4S21_S30_L001_R1_001.fastq.gz,D4S21_S30_L001_R2_001.fastq.gz
46,D4S19,B29D,Corraline,29,Chiharaea americana,Chiharaea americana,11/07/2019,No_comment,Continuous,Boat,B29D_DSC_3346.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S19_S42_L001_R1_001.fastq.gz,D4S19_S42_L001_R2_001.fastq.gz
47,D4S20,B28A,Corraline,28,Bossiella mayae,Bossiella mayae,11/07/2019,No_comment,Continuous,Boat,B28A_DSC_3342.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S20_S24_L001_R1_001.fastq.gz,D4S20_S24_L001_R2_001.fastq.gz
48,D1W1,Water1,Water,Other,NA,#N/A,8/07/2019,No_comment,NA,Boat,NA,NA,NA,NA,Success,D1W1_S54_L001_R1_001.fastq.gz,D1W1_S54_L001_R2_001.fastq.gz
49,D4S06,B28F,Corraline,28,Crusticorallina painei,Crusticorallina painei,11/07/2019,No_comment,Continuous,Boat,B28F_DSC_3342.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S06_S36_L001_R1_001.fastq.gz,D4S06_S36_L001_R2_001.fastq.gz
50,D4S57,B33_red_crust,Red_crust,33,Red Crust,Peyssonnelia sp10BC,11/07/2019,No_comment,Continuous,Boat,B33rc_DSC_3361.jpg,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S57_S48_L001_R1_001.fastq.gz,D4S57_S48_L001_R2_001.fastq.gz
51,D4S59,B33D,Corraline,33,Crusticorallina painei,Crusticorallina painei,11/07/2019,No_comment,Continuous,Boat,B33D_DSC_3361.jpg,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S59_S66_L001_R1_001.fastq.gz,D4S59_S66_L001_R2_001.fastq.gz
52,D4S66,B35E,Corraline,35,Bossiella exarticulata,Bossiella exarticulata,11/07/2019,No_comment,Continuous,Boat,B35E_DSC_3365.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S66_S78_L001_R1_001.fastq.gz,D4S66_S78_L001_R2_001.fastq.gz
